time,relative_humidity,temperature
1575262766394,64.9,17.5
1575262727911,65.0,17.5
1575262710006,65.1,17.6
1575262702953,65.0,17.5
1575262689250,64.9,17.4
1575262657588,65.1,17.5
1575262538003,65.1,17.6
1575262515389,65.2,17.4
1575262472060,65.2,17.5
1575262468522,65.3,17.6
1575262450488,65.2,17.5
1575262434441,65.2,17.6
1575262295107,65.4,17.5
1575262274695,65.4,17.5
1575262250291,65.4,17.5
1575262218010,65.6,17.6
1575262207378,65.5,17.6
1575262192843,65.5,17.5
1575262183538,65.4,17.5
1575262138237,65.5,17.5
1575262098393,65.6,17.6
1575262059991,65.5,17.6
1575262001595,65.5,17.6
1575261987447,65.6,17.6
1575261979995,65.5,17.5
1575261953794,65.7,17.6
1575261949336,65.6,17.5
1575261942256,65.6,17.5
1575261927351,65.5,17.5
1575261871785,65.5,17.5
1575261817670,65.5,17.5
1575261799158,65.5,17.5
1575261781780,65.5,17.6
1575261755695,65.5,17.5
1575261716700,65.5,17.6
1575261709746,65.5,17.6
1575261652681,65.5,17.5
1575261638848,65.5,17.6
1575261599930,65.5,17.5
1575261581464,65.5,17.5
1575261567777,65.5,17.5
1575261550161,65.5,17.5
1575261546204,65.5,17.6
1575261531806,65.6,17.5
1575261528243,65.5,17.5
1575261476154,65.5,17.6
1575261394199,65.4,17.5
1575261332999,65.4,17.5
1575261322149,65.3,17.6
1575261179779,65.4,17.5
1575261155081,65.3,17.5
1575261013594,65.2,17.6
1575261006547,65.2,17.6
1575260988979,65.2,17.6
1575260985460,65.3,17.5
1575260915484,65.3,17.6
1575260898004,65.1,17.6
1575260787228,65.1,17.6
1575260769200,65.0,17.6
1575260743800,65.1,17.6
1575260729307,65.1,17.6
1575260725727,65.0,17.6
1575260685630,65.1,17.6
1575260625278,65.1,17.6
1575260571801,65.1,17.6
1575260558449,65.0,17.5
1575260553790,65.1,17.5
1575260533078,65.2,17.6
1575260481730,65.0,17.6
1575260392682,65.2,17.6
1575260350335,65.1,17.6
1575260339825,65.1,17.6
1575260241125,65.2,17.5
1575260230819,65.1,17.5
1575260188288,65.2,17.6
1575260177633,65.1,17.5
1575260162512,65.1,17.6
1575260090894,65.2,17.6
1575260059299,65.3,17.6
1575259989191,65.2,17.5
1575259964541,65.2,17.6
1575259793879,65.3,17.5
