time,relative_humidity,temperature
1575262787712,63.1,18.6
1575262780168,63.1,18.4
1575262678923,63.2,18.5
1575262589764,63.3,18.5
1575262526198,63.4,18.6
1575262498209,63.3,18.6
1575262494893,63.3,18.5
1575262442661,63.4,18.6
1575262406800,63.4,18.6
1575262378826,63.3,18.5
1575262298503,63.5,18.5
1575262264243,63.4,18.5
1575262246866,63.4,18.5
1575262214498,63.5,18.6
1575262169996,63.5,18.4
1575262159431,63.5,18.6
1575262105624,63.6,18.5
1575262045441,63.6,18.6
1575262011586,63.6,18.6
1575261906122,63.5,18.5
1575261899152,63.4,18.6
1575261895547,63.5,18.5
1575261854705,63.5,18.6
1575261810383,63.5,18.5
1575261692147,63.4,18.6
1575261685098,63.6,18.6
1575261656165,63.5,18.5
1575261649374,63.6,18.5
1575261585141,63.5,18.5
1575261557147,63.5,18.6
1575261441390,63.5,18.6
1575261346740,63.5,18.6
1575261301431,63.4,18.5
1575261284082,63.3,18.6
1575261162070,63.4,18.5
1575261139737,63.3,18.5
1575261017267,63.3,18.6
1575260982086,63.3,18.6
1575260847383,63.3,18.6
1575260825413,63.4,18.6
1575260807021,63.4,18.5
1575260678469,63.4,18.6
1575260616987,63.2,18.5
1575260592722,63.3,18.6
1575260585830,63.2,18.6
1575260491952,63.2,18.6
1575260452972,63.2,18.6
1575260336178,63.2,18.5
1575260258334,63.2,18.6
1575260202570,63.2,18.6
1575260102834,63.3,18.6
1575260080020,63.3,18.6
1575260045569,63.3,18.7
1575260038290,63.4,18.5
1575260018470,63.4,18.6
1575259999484,63.4,18.6
1575259996230,63.3,18.6
1575259974857,63.5,18.6
1575259960034,63.4,18.6
1575259931893,63.4,18.6
1575259913102,63.3,18.6
1575259897882,63.4,18.7
1575259785581,63.5,18.6
1575259764357,63.4,18.6
1575259757216,63.5,18.6
1575259736925,63.5,18.6
1575259726284,63.2,18.6
1575259659070,63.5,18.6
1575259655429,63.4,18.7
1575259627968,63.4,18.6
1575259600688,63.4,18.6
1575259560328,63.3,18.6
1575259534098,63.3,18.6
1575259519482,63.3,18.6
1575259504450,63.4,18.5
1575259466558,63.3,18.5
1575259308321,63.3,18.6
1575259294488,63.3,18.6
1575259256307,63.2,18.5
1575259236667,63.3,18.6
1575259176027,63.4,18.6
1575259157678,63.3,18.6
1575259148394,63.3,18.5
1575259144882,63.3,18.6
1575259078577,63.2,18.6
1575259065035,63.3,18.6
1575259029547,63.3,18.6
1575259004973,63.3,18.6
1575258987285,63.2,18.6
1575258954147,63.2,18.6
1575258930968,63.2,18.5
1575258916976,63.3,18.6
1575258860772,63.2,18.7
1575258834887,63.2,18.6
1575258795371,63.3,18.7
1575258702636,63.1,18.6
1575258657187,63.2,18.7
1575258641241,63.3,18.6
1575258626932,63.3,18.6
1575258605278,63.2,18.6
1575258564837,63.2,18.6
1575258535752,63.2,18.6
1575258485943,63.1,18.6
1575258459427,63.2,18.6
1575258452268,63.2,18.6
1575258448297,63.2,18.6
1575258441308,63.2,18.6
1575258430853,63.2,18.7
1575258392693,63.1,18.6
1575258359926,63.1,18.6
1575258324840,63.1,18.7
1575258138829,63.1,18.7
1575258113696,63.1,18.6
1575258086581,63.1,18.7
1575258065455,63.1,18.7
1575258043681,63.0,18.6
1575258040133,63.1,18.6
1575258012517,63.0,18.6
1575257990830,63.0,18.6
1575257987327,63.0,18.6
1575257944353,63.0,18.6
1575257894886,63.0,18.7
1575257844885,63.0,18.7
1575257789145,62.9,18.6
1575257708926,62.9,18.6
1575257694947,62.9,18.7
1575257671516,62.9,18.7
1575257637319,63.0,18.6
1575257627091,63.0,18.5
1575257616823,63.0,18.7
1575257566529,63.0,18.6
1575257562954,63.0,18.7
1575257549277,62.9,18.6
1575257541672,63.0,18.6
1575257503046,63.0,18.7
1575257414269,63.0,18.7
1575257385547,62.9,18.7
1575257342033,62.9,18.7
1575257207182,62.8,18.7
1575257103018,62.8,18.7
1575257096524,62.9,18.7
1575257039966,62.8,18.7
1575257033020,62.8,18.6
1575256990835,62.9,18.6
1575256932333,62.8,18.6
1575256857380,62.8,18.6
1575256797321,62.7,18.7
1575256750191,62.8,18.6
1575256696808,62.9,18.6
1575256664746,62.8,18.7
1575256649624,62.9,18.7
1575256638675,62.7,18.6
1575256526410,62.8,18.7
1575256491604,62.7,18.7
1575256372436,62.9,18.7
1575256292075,62.9,18.6
1575256275131,62.8,18.6
1575256251526,62.8,18.7
1575256224156,62.7,18.6
1575256172789,62.8,18.7
1575256161727,62.7,18.7
1575256157875,62.7,18.7
1575256150320,62.6,18.7
1575256040133,62.7,18.7
1575256026268,62.7,18.7
1575255962500,62.6,18.7
1575255853299,62.4,18.8
1575255849794,62.4,18.7
