time,relative_humidity,temperature
1575262798344,54.4,21.4
1575262745665,54.5,21.4
1575262713257,54.4,21.5
1575262685857,54.4,21.5
1575262682263,54.4,21.4
1575262650033,54.5,21.4
1575262621494,54.4,21.4
1575262618017,54.5,21.4
1575262542109,54.5,21.4
1575262519053,54.6,21.4
1575262446442,54.6,21.4
1575262417065,54.7,21.5
1575262382114,54.6,21.3
1575262281765,54.6,21.4
1575262253740,54.7,21.5
1575262155846,54.6,21.5
1575262082981,54.7,21.4
1575261994833,54.6,21.4
1575261976284,54.6,21.4
1575261930827,54.6,21.4
1575261909649,54.6,21.3
1575261862362,54.7,21.5
1575261837201,54.6,21.5
1575261733836,54.6,21.4
1575261699188,54.6,21.4
1575261617255,54.7,21.4
1575261603196,54.6,21.4
1575261574766,54.7,21.5
1575261571201,54.7,21.4
1575261539336,54.6,21.5
1575261517993,54.6,21.5
1575261507400,54.6,21.5
1575261472847,54.6,21.4
1575261469299,54.6,21.4
1575261368941,54.6,21.4
1575261351104,54.6,21.4
1575261315256,54.5,21.5
1575261304741,54.4,21.5
1575261269980,54.5,21.5
1575261172972,54.4,21.5
1575261151449,54.5,21.4
1575261129491,54.5,21.5
1575261010000,54.5,21.4
1575260995973,54.5,21.4
1575260971149,54.5,21.4
1575260964233,54.5,21.4
1575260960833,54.4,21.4
1575260883273,54.4,21.5
1575260843605,54.5,21.5
1575260829087,54.4,21.5
1575260754387,54.5,21.4
1575260736478,54.5,21.5
1575260696437,54.4,21.4
1575260671186,54.5,21.4
1575260653963,54.5,21.5
1575260599810,54.4,21.5
1575260511893,54.4,21.5
1575260470902,54.4,21.5
1575260467431,54.5,21.5
1575260431287,54.4,21.4
1575260384749,54.6,21.5
1575260360595,54.5,21.5
1575260353674,54.5,21.6
1575260304199,54.6,21.5
1575260272218,54.6,21.4
1575260251629,54.6,21.4
1575260181407,54.6,21.5
1575260174285,54.6,21.5
1575260098659,54.5,21.5
1575260083717,54.7,21.4
1575260052468,54.6,21.4
1575260031335,54.5,21.4
1575259985714,54.6,21.5
1575259968133,54.6,21.4
1575259946844,54.7,21.4
1575259811685,54.5,21.4
1575259797394,54.5,21.3
1575259753729,54.5,21.4
1575259750225,54.5,21.4
1575259670236,54.5,21.4
1575259616287,54.4,21.5
1575259593123,54.5,21.5
1575259548783,54.4,21.5
1575259523038,54.5,21.4
1575259474368,54.4,21.5
1575259442680,54.4,21.4
1575259425547,54.5,21.5
1575259400219,54.5,21.5
1575259389225,54.4,21.5
1575259378304,54.5,21.5
1575259367270,54.4,21.4
1575259161688,54.5,21.4
1575259068443,54.4,21.5
1575259049989,54.5,21.5
1575259022580,54.5,21.5
1575258878279,54.4,21.5
1575258853171,54.5,21.6
1575258821278,54.3,21.5
1575258805925,54.5,21.5
1575258691037,54.4,21.5
1575258622702,54.4,21.4
1575258609244,54.3,21.5
1575258588136,54.4,21.5
1575258531733,54.3,21.5
1575258492728,54.3,21.5
1575258437693,54.3,21.4
1575258369736,54.4,21.5
1575258335279,54.3,21.4
1575258273721,54.4,21.6
1575258259380,54.3,21.4
1575258234888,54.3,21.4
1575258227794,54.3,21.5
1575258217552,54.3,21.4
1575258164052,54.3,21.4
1575258026037,54.3,21.5
1575258008255,54.3,21.5
1575257976632,54.2,21.4
1575257905780,54.2,21.4
1575257823761,54.2,21.5
1575257701734,54.2,21.5
1575257442076,54.3,21.5
1575257378574,54.1,21.5
1575257333682,54.1,21.4
1575257316430,54.2,21.5
1575257234991,54.0,21.4
1575257214423,54.1,21.5
1575257142924,54.2,21.5
1575257082520,54.1,21.4
1575257072032,54.1,21.4
1575256896712,54.1,21.5
1575256842363,54.1,21.5
1575256739635,54.1,21.5
1575256736453,54.1,21.5
1575256642100,54.1,21.5
1575256624380,54.1,21.5
1575256512330,54.1,21.5
1575256501877,54.1,21.4
1575256479944,54.2,21.5
1575256476539,54.1,21.4
1575256421814,54.1,21.5
1575256397673,54.1,21.5
1575256369023,54.1,21.4
1575256355258,54.1,21.5
1575256313358,54.1,21.4
