time,relative_humidity,temperature
1572584350750,56.4,26.4
1572584282720,56.4,26.3
1572584238712,56.4,26.4
1572584184161,56.4,26.3
1572584173135,56.4,26.4
1572584134748,56.4,26.4
1572584103762,56.4,26.5
1572584060307,56.5,26.4
1572583933036,56.4,26.5
1572583861923,56.5,26.6
1572583817664,56.4,26.4
1572583793816,56.4,26.4
1572583779963,56.5,26.6
1572583769884,56.5,26.4
1572583687652,56.4,26.4
1572583660506,56.4,26.5
1572583608758,56.5,26.4
1572583571950,56.4,26.5
1572583527459,56.4,26.4
1572583517329,56.5,26.4
1572583392649,56.5,26.5
1572583382669,56.4,26.5
1572583379318,56.4,26.5
1572583236325,56.4,26.5
1572583195531,56.4,26.5
1572583124676,56.5,26.4
1572583087688,56.5,26.5
1572583029998,56.5,26.5
1572583020000,56.5,26.5
1572582939557,56.4,26.4
1572582898699,56.5,26.5
1572582865164,56.5,26.5
1572582837858,56.5,26.4
1572582813985,56.4,26.5
1572582759754,56.5,26.5
1572582726397,56.4,26.5
1572582679061,56.5,26.5
1572582661705,56.5,26.4
1572582585216,56.4,26.5
1572582564756,56.4,26.5
1572582527064,56.4,26.4
1572582520189,56.4,26.5
1572582493235,56.4,26.5
1572582465855,56.4,26.5
1572582422043,56.4,26.5
1572582415609,56.3,26.4
1572582408598,56.5,26.6
1572582336469,56.4,26.5
1572582312279,56.4,26.5
1572582295300,56.5,26.5
1572582170250,56.4,26.4
1572582126448,56.4,26.5
1572582079307,56.4,26.5
1572582038800,56.4,26.5
1572581960443,56.5,26.5
1572581946764,56.5,26.5
1572581933398,56.4,26.5
1572581930050,56.4,26.5
1572581912589,56.4,26.6
1572581892254,56.5,26.5
1572581866500,56.5,26.5
1572581825581,56.5,26.4
1572581782045,56.4,26.5
1572581694300,56.4,26.5
1572581628202,56.5,26.6
1572581588221,56.4,26.5
1572581584799,56.4,26.5
1572581517381,56.5,26.6
1572581493388,56.5,26.5
1572581451574,56.4,26.5
1572581428231,56.5,26.6
1572581394657,56.4,26.5
1572581347893,56.5,26.6
1572581334488,56.4,26.5
1572581294281,56.4,26.6
1572581275944,56.4,26.6
1572581259041,56.4,26.5
1572581255704,56.5,26.6
1572581228466,56.3,26.5
1572581205455,56.5,26.6
1572581181758,56.4,26.5
1572581144722,56.5,26.6
1572581124199,56.5,26.6
1572581079368,56.5,26.5
1572581072479,56.5,26.5
1572581065895,56.5,26.6
1572580995358,56.6,26.5
1572580961075,56.5,26.5
1572580910652,56.4,26.5
1572580867100,56.5,26.6
1572580825241,56.5,26.5
