time,relative_humidity,temperature
1572584381321,57.5,26.0
1572584293098,57.6,26.0
1572584255927,57.6,26.0
1572584231967,57.7,26.1
1572584177359,57.6,26.0
1572584162553,57.7,26.0
1572584159184,57.6,26.0
1572584067116,57.7,26.1
1572584063666,57.6,26.0
1572584029505,57.6,26.1
1572584005806,57.6,26.0
1572583942966,57.6,26.1
1572583926382,57.7,26.0
1572583895719,57.7,26.1
1572583888867,57.6,26.1
1572583868603,57.7,26.0
1572583851706,57.7,26.1
1572583835060,57.6,26.1
1572583790605,57.5,26.1
1572583731874,57.6,26.1
1572583605447,57.7,26.1
1572583568513,57.6,26.2
1572583557996,57.6,26.1
1572583507244,57.5,26.1
1572583497151,57.6,26.1
1572583493706,57.6,26.0
1572583460111,57.5,26.1
1572583409648,57.6,26.2
1572583389279,57.7,26.0
1572583358559,57.6,26.0
1572583348489,57.6,26.0
1572583304705,57.6,26.2
1572583287803,57.6,26.1
1572583178977,57.7,26.2
1572583121405,57.5,26.1
1572583060461,57.6,26.1
1572582932820,57.6,26.1
1572582908665,57.7,26.1
1572582895281,57.7,26.1
1572582851378,57.7,26.2
1572582844592,57.7,26.1
1572582779959,57.7,26.0
1572582773448,57.7,26.1
1572582753216,57.7,26.2
1572582722753,57.7,26.1
1572582692162,57.6,26.1
1572582654918,57.6,26.1
1572582644160,57.7,26.1
1572582634153,57.7,26.2
1572582623445,57.6,26.1
1572582602193,57.6,26.1
1572582574664,57.5,26.0
1572582533784,57.7,26.2
1572582499704,57.7,26.1
1572582479498,57.7,26.1
1572582462455,57.6,26.1
1572582425355,57.7,26.2
1572582411945,57.8,26.1
1572582363777,57.7,26.2
1572582326102,57.6,26.2
1572582318977,57.6,26.1
1572582308818,57.6,26.2
1572582291955,57.7,26.1
1572582285311,57.8,26.2
1572582271904,57.7,26.1
1572582244581,57.8,26.1
1572582146727,57.6,26.2
1572582109964,57.8,26.1
1572582102902,57.6,26.0
1572582072058,57.7,26.2
1572582052102,57.6,26.1
1572582035558,57.7,26.2
1572581943358,57.6,26.2
1572581876664,57.7,26.2
1572581818861,57.6,26.1
1572581778855,57.7,26.2
1572581762258,57.7,26.1
1572581659308,57.6,26.2
1572581618254,57.8,26.2
1572581537409,57.6,26.2
1572581534015,57.7,26.1
1572581486889,57.6,26.2
1572581465261,57.6,26.2
1572581420066,57.7,26.2
1572581314344,57.6,26.2
1572581265731,57.6,26.1
1572581218533,57.6,26.2
1572581208786,57.7,26.2
1572581195360,57.6,26.2
1572581174904,57.6,26.2
1572581158058,57.7,26.2
1572581107298,57.5,26.2
1572581086293,57.6,26.2
1572581026018,57.7,26.2
1572580954392,57.7,26.2
1572580927526,57.7,26.2
1572580924008,57.6,26.2
1572580857148,57.7,26.2
1572580799797,57.7,26.2
1572580773134,57.8,26.3
1572580718902,57.7,26.2
1572580688708,57.7,26.2
1572580668696,57.6,26.2
1572580543345,57.6,26.2
1572580533304,57.7,26.2
1572580499632,57.6,26.2
1572580431996,57.6,26.2
1572580325897,57.7,26.3
1572580278581,57.6,26.2
1572580268330,57.6,26.1
1572580183804,57.6,26.2
1572580165942,57.7,26.2
1572580129286,57.6,26.2
1572580109265,57.6,26.2
1572580092941,57.6,26.2
1572580052608,57.6,26.2
1572579972053,57.7,26.3
1572579955198,57.7,26.2
1572579934194,57.7,26.2
1572579909399,57.7,26.3
1572579747543,57.8,26.2
1572579699969,57.7,26.2
1572579682297,57.7,26.2
1572579668995,57.7,26.2
1572579651764,57.7,26.2
1572579635041,57.7,26.2
1572579604787,57.7,26.2
1572579581133,57.8,26.3
1572579571335,57.7,26.3
1572579544018,57.7,26.3
1572579520394,57.7,26.3
1572579517145,57.7,26.2
1572579490541,57.7,26.3
1572579476623,57.7,26.3
