time,relative_humidity,temperature
1572584388278,63.2,23.3
1572584384843,63.2,23.3
1572584361413,63.1,23.3
1572584323626,63.2,23.3
1572584306808,63.3,23.4
1572584249108,63.3,23.3
1572584207855,63.2,23.4
1572584190931,63.2,23.3
1572584141733,63.2,23.3
1572584117584,63.3,23.4
1572584039812,63.3,23.4
1572584009290,63.3,23.5
1572583992208,63.2,23.4
1572583972253,63.2,23.3
1572583949810,63.3,23.4
1572583919720,63.2,23.4
1572583902839,63.3,23.4
1572583824308,63.3,23.4
1572583735578,63.6,23.2
1572583674147,63.6,23.5
1572583642926,63.3,23.3
1572583551258,63.4,23.4
1572583520627,63.5,23.4
1572583503920,63.4,23.4
1572583483553,63.4,23.4
1572583430000,63.5,23.3
1572583355050,63.3,23.3
1572583301254,63.3,23.4
1572583259296,63.3,23.4
1572583250349,63.4,23.5
1572583189103,63.4,23.4
1572583185739,63.4,23.4
1572583172401,63.4,23.4
1572583152124,63.5,23.4
1572583131896,63.4,23.4
1572583114489,63.4,23.3
1572583101207,63.4,23.5
1572583084331,63.3,23.4
1572583047079,63.2,23.4
1572582983367,63.2,23.4
1572582966457,63.4,23.4
1572582949722,63.3,23.4
1572582901966,63.3,23.4
1572582881664,63.2,23.5
1572582834633,63.3,23.5
1572582820953,63.4,23.5
1572582806954,63.3,23.4
1572582786679,63.3,23.4
1572582637551,63.4,23.4
1572582609571,63.3,23.5
1572582547606,63.3,23.4
1572582482756,63.4,23.4
1572582472715,63.4,23.4
1572582442097,63.2,23.4
1572582398756,63.4,23.5
1572582384012,63.4,23.4
1572582367209,63.4,23.5
1572582353559,63.4,23.3
1572582339708,63.4,23.4
1572582247982,63.4,23.5
1572582197557,63.3,23.4
1572582194211,63.4,23.5
1572582119991,63.4,23.4
1572582055355,63.3,23.4
1572582048771,63.3,23.4
1572582015075,63.3,23.5
1572581991596,63.2,23.4
1572581977702,63.2,23.4
1572581895696,63.2,23.4
1572581881042,63.2,23.4
1572581869805,63.3,23.4
1572581859983,63.2,23.3
1572581808848,63.2,23.4
1572581788631,63.2,23.5
1572581677126,63.2,23.4
1572581641967,63.3,23.5
1572581608214,63.2,23.4
1572581564107,63.1,23.5
1572581550597,63.2,23.4
1572581503836,63.2,23.5
1572581473148,63.1,23.4
1572581454901,63.2,23.4
1572581448197,63.0,23.5
1572581408591,63.1,23.4
1572581378225,63.1,23.5
1572581341245,63.1,23.5
1572581286608,63.0,23.5
1572581154673,62.9,23.4
1572581137849,62.9,23.5
1572581134391,62.9,23.5
1572581052647,63.0,23.5
1572581012801,63.0,23.5
1572581005545,63.0,23.5
1572580981758,62.9,23.5
1572580890358,63.0,23.5
1572580847210,63.0,23.4
1572580746006,62.9,23.5
1572580715531,63.0,23.5
1572580695444,63.0,23.5
1572580658132,63.1,23.5
1572580617171,62.9,23.4
1572580600359,62.9,23.4
1572580590292,62.9,23.6
1572580546669,62.9,23.5
1572580522794,63.1,23.5
1572580462749,62.9,23.5
1572580415345,62.9,23.5
1572580405051,63.0,23.4
1572580384689,63.0,23.6
1572580353980,62.9,23.5
1572580312640,63.0,23.5
1572580296045,63.0,23.6
1572580200540,63.0,23.6
1572580176190,63.0,23.5
1572580075927,62.9,23.4
1572580056008,62.9,23.5
1572579962136,62.9,23.5
1572579944072,62.9,23.6
1572579930726,62.7,23.4
1572579862586,62.9,23.5
1572579845592,62.8,23.5
1572579835751,62.9,23.5
1572579767770,62.8,23.6
1572579733803,62.8,23.5
1572579644910,62.7,23.6
1572579625234,62.7,23.5
1572579479970,62.6,23.6
1572579449744,62.5,23.5
1572579383163,62.6,23.5
1572579312785,62.5,23.5
1572579282485,62.5,23.5
1572579242185,62.6,23.5
1572579232142,62.6,23.6
1572579208611,62.5,23.5
1572579164361,62.5,23.6
1572579151144,62.4,23.5
1572579096858,62.5,23.6
1572579062926,62.5,23.5
1572578970486,62.5,23.5
1572578896479,62.5,23.5
1572578845275,62.4,23.5
1572578835113,62.5,23.5
1572578745364,62.4,23.6
1572578721928,62.5,23.5
1572578657944,62.5,23.6
1572578630431,62.5,23.6
1572578572532,62.5,23.6
1572578504133,62.5,23.6
1572578497589,62.4,23.6
1572578457456,62.4,23.6
1572578420421,62.4,23.5
1572578403630,62.3,23.5
1572578350589,62.5,23.5
1572578309460,62.4,23.6
1572578292539,62.4,23.6
1572578236228,62.5,23.6
1572578216090,62.4,23.5
1572578205864,62.4,23.5
1572578128440,62.3,23.6
1572578084633,62.3,23.6
1572578036967,62.4,23.6
1572577951726,62.3,23.5
1572577905292,62.4,23.6
1572577884171,62.4,23.6
1572577833009,62.3,23.6
1572577799374,62.4,23.6
1572577687769,62.4,23.5
1572577637676,62.2,23.6
1572577620653,62.4,23.6
1572577603769,62.3,23.5
1572577573831,62.3,23.6
1572577543573,62.2,23.6
1572577352003,62.2,23.6
1572577337214,62.3,23.6
1572577284778,62.3,23.6
1572577277662,62.2,23.6
1572577263602,62.2,23.6
1572577252555,62.3,23.6
1572577211349,62.2,23.6
1572577182204,62.2,23.6
1572577159072,62.3,23.6
1572577101671,62.3,23.5
1572577080523,62.3,23.6
1572576993766,62.3,23.7
1572576944087,62.3,23.6
1572576896766,62.2,23.5
1572576831472,62.3,23.6
1572576817375,62.3,23.5
1572576712698,62.3,23.5
1572576695127,62.2,23.6
1572576670567,62.2,23.6
1572576657270,62.2,23.6
1572576581980,62.2,23.6
1572576524332,62.3,23.6
1572576463216,62.2,23.6
1572576409078,62.3,23.6
1572576382130,62.2,23.6
1572576338149,62.2,23.6
1572576301035,62.2,23.6
1572576277433,62.3,23.6
1572576259886,62.4,23.6
1572576129681,62.3,23.7
1572576091048,62.3,23.6
1572576074014,62.4,23.6
1572576063525,62.4,23.6
1572576053520,62.2,23.6
1572576016419,62.2,23.5
1572575995794,62.3,23.6
1572575959620,62.4,23.7
1572575952634,62.3,23.6
1572575929369,62.4,23.7
1572575909325,62.3,23.6
1572575848028,62.3,23.6
1572575813912,62.1,23.6
1572575797324,62.1,23.6
1572575780555,62.2,23.6
1572575770532,62.1,23.6
1572575753094,62.1,23.6
1572575749846,62.2,23.6
1572575711048,62.2,23.6
1572575662730,62.2,23.7
1572575645603,62.2,23.7
1572575574125,62.1,23.7
1572575550661,62.1,23.6
1572575485982,61.9,23.6
1572575424371,62.0,23.6
1572575230413,61.8,23.6
1572575203071,61.8,23.7
1572575149031,61.9,23.7
1572575145759,61.9,23.6
1572575129271,61.9,23.6
1572575098838,61.6,23.6
1572575077627,61.7,23.6
1572575044344,61.6,23.6
1572574949313,61.6,23.6
1572574946027,61.6,23.6
1572574922247,61.5,23.6
1572574841045,61.5,23.7
1572574752457,61.5,23.7
1572574705815,61.6,23.7
1572574702469,61.5,23.8
1572574601697,61.4,23.6
1572574584904,61.5,23.7
1572574546392,61.3,23.6
1572574525761,61.3,23.6
1572574400212,61.2,23.6
1572574383353,61.1,23.7
1572574280556,60.9,23.6
1572574252522,61.0,23.5
1572574208006,60.9,23.7
1572574201254,60.8,23.6
1572574163799,60.8,23.7
1572574047942,60.8,23.6
1572573996764,60.7,23.7
1572573983265,60.7,23.7
1572573880408,60.7,23.7
1572573676593,60.5,23.6
1572573604089,60.4,23.8
1572573573063,60.5,23.7
1572573549536,60.5,23.7
1572573542675,60.3,23.7
1572573512355,60.4,23.7
1572573499005,60.2,23.7
1572573462452,60.3,23.7
1572573438904,60.3,23.7
1572573378361,60.4,23.8
1572573209749,60.0,23.6
1572573196075,60.1,23.7
1572573139239,60.3,23.7
1572572999101,60.0,23.7
1572572975534,60.2,23.7
1572572954518,60.1,23.6
1572572930862,60.1,23.6
1572572885852,59.9,23.8
1572572875792,59.8,23.7
1572572862261,59.9,23.6
1572572827954,60.0,23.6
1572572767892,60.1,23.7
1572572757654,60.0,23.6
1572572719514,59.8,23.8
1572572702311,59.9,23.6
1572572687905,60.0,23.6
1572572575556,60.0,23.7
1572572552111,60.0,23.8
1572572534813,59.9,23.7
1572572501248,60.0,23.6
1572572449942,60.0,23.8
1572572388021,60.0,23.7
1572572350817,60.0,23.6
1572572251949,60.0,23.7
1572572234670,60.2,23.8
1572572227635,60.0,23.7
1572572116455,59.8,23.7
1572572036782,60.0,23.7
1572571997956,59.9,23.6
1572571954105,59.8,23.7
1572571950716,59.9,23.7
1572571906612,60.0,23.7
1572571840357,59.8,23.6
1572571783046,59.8,23.7
1572571724630,60.0,23.8
1572571687490,59.6,23.7
1572571663292,59.5,23.7
1572571587964,59.5,23.8
1572571526984,59.5,23.6
1572571517067,59.6,23.7
1572571499403,59.5,23.8
1572571485640,59.6,23.8
1572571440693,59.8,23.8
1572571434057,59.6,23.7
1572571413244,60.2,23.8
1572571382391,59.4,23.6
1572571321253,59.4,23.7
1572571313941,59.1,23.7
1572571289985,59.1,23.7
1572571270034,59.1,23.7
1572571197143,59.0,23.8
1572571180161,59.0,23.7
1572571146342,59.0,23.6
1572571095195,59.0,23.8
1572571043151,59.0,23.7
1572571026371,59.1,23.8
1572570947532,58.6,23.7
1572570879440,58.6,23.7
1572570828336,58.6,23.7
1572570778223,58.5,23.8
1572570741035,58.6,23.6
1572570734230,58.5,23.8
1572570675313,58.6,23.8
1572570658557,58.6,23.8
1572570562140,58.2,23.8
1572570542149,58.3,23.7
1572570515244,58.2,23.8
1572570487593,58.3,23.7
1572570411530,58.1,23.8
1572570296948,58.0,23.8
1572570279893,58.0,23.7
1572570263032,58.0,23.8
1572570232848,58.1,23.8
1572570209124,58.1,23.8
1572570198717,58.2,23.8
1572570180869,58.1,23.7
1572570123337,57.9,23.7
1572570102824,57.8,23.8
1572570074977,57.9,23.8
1572570064410,57.9,23.8
1572569935572,57.8,23.8
1572569908721,57.7,23.8
1572569875633,57.7,23.7
1572569851546,57.5,23.8
1572569838118,57.6,23.8
1572569803585,57.7,23.7
1572569743325,57.6,23.7
1572569719421,57.6,23.8
1572569658678,57.7,23.7
1572569568539,57.6,23.8
1572569555376,57.5,23.7
1572569524332,57.3,23.7
1572569483352,57.3,23.8
1572569404904,57.2,23.8
1572569370608,57.2,23.8
1572569360223,57.2,23.8
1572569322881,57.1,23.8
1572569319020,57.2,23.8
1572569251789,57.1,23.8
1572569231709,57.0,23.7
1572569210728,57.0,23.8
1572569207379,57.0,23.8
1572569180878,57.1,23.7
1572569174251,57.1,23.8
1572569153074,57.0,23.7
1572569143224,57.0,23.6
1572569111988,56.9,23.8
1572569105001,57.0,23.8
1572569046724,57.1,23.6
1572569036282,57.2,23.7
1572569005941,57.2,23.8
1572568920378,56.9,23.7
1572568883178,57.0,23.8
1572568837640,57.0,23.8
1572568762400,56.8,23.7
1572568748927,56.9,23.8
1572568705065,56.9,23.7
1572568649615,56.7,23.8
1572568585584,56.8,23.8
1572568538014,56.6,23.7
1572568437695,56.5,23.8
1572568420389,56.3,23.7
1572568395324,56.3,23.7
1572568329030,56.3,23.8
1572568281711,56.4,23.8
1572568241369,56.3,23.8
1572568207916,56.3,23.8
1572568190912,56.5,23.8
1572568173961,56.4,23.8
1572568144061,56.4,23.7
1572568124265,56.3,23.8
1572568054786,56.3,23.8
1572568038167,56.4,23.8
1572568035006,56.4,23.7
1572568011436,56.4,23.7
1572567895071,56.4,23.8
1572567888155,56.4,23.8
1572567856351,56.5,23.8
1572567751276,56.5,23.8
1572567678420,56.5,23.8
1572567644536,56.5,23.8
1572567637863,56.6,23.8
1572567569390,56.5,23.7
1572567549056,56.6,23.8
1572567531450,56.6,23.8
1572567483214,56.5,23.8
1572567468680,56.5,23.8
1572567429509,56.5,23.8
1572567388379,56.6,23.8
1572567384404,56.5,23.8
1572567312708,56.4,23.8
1572567263633,56.7,23.8
1572567178133,56.6,23.8
1572567143371,56.7,23.8
1572567126371,56.6,23.8
1572567071848,56.5,23.8
1572566955698,56.8,23.8
1572566915064,56.6,23.8
1572566885958,56.6,23.8
1572566874673,56.5,23.8
1572566826232,56.7,23.8
1572566776443,56.5,23.8
1572566760095,56.4,23.8
1572566685770,56.5,23.8
1572566673824,56.4,23.8
1572566544971,56.5,23.8
1572566528267,56.5,23.9
1572566471753,56.4,23.8
1572566398930,56.4,23.9
1572566311270,56.4,23.9
1572566300996,56.3,23.9
1572566215317,56.2,23.8
1572566212069,56.1,23.8
1572566144123,56.3,23.8
1572566120182,56.3,23.8
1572566096055,56.1,23.8
1572566055141,56.1,23.8
1572566041471,56.1,23.9
1572565973853,55.9,23.8
1572565957208,55.8,23.8
1572565916600,55.9,23.8
1572565906499,55.7,23.8
1572565875199,55.7,23.9
1572565861823,55.8,23.8
1572565827765,55.6,23.9
1572565787515,55.8,23.8
1572565764295,55.9,23.8
1572565744385,55.7,23.9
1572565741108,55.7,23.8
1572565730867,55.7,23.9
1572565693871,55.6,23.8
1572565672660,55.5,23.8
1572565644697,55.5,23.9
1572565627449,55.3,23.9
1572565616894,55.4,23.8
1572565541458,55.3,23.9
1572565531055,55.3,23.8
1572565340022,55.1,23.9
1572565332860,55.2,23.8
1572565326357,55.2,23.8
1572565302543,55.2,23.8
1572565282401,55.0,23.8
1572565244951,55.1,23.8
1572565211765,55.2,23.9
1572565153403,55.0,23.9
1572565022354,55.0,23.9
1572565005755,55.0,23.8
1572564992422,54.9,23.8
1572564979004,54.8,23.9
1572564948185,55.0,23.9
1572564907563,54.7,23.8
1572564866803,54.9,24.0
1572564812788,55.1,23.9
1572564799698,55.0,23.8
1572564779045,55.1,23.8
1572564745493,54.9,23.8
1572564731543,55.1,23.8
1572564714505,55.0,23.8
1572564708140,55.0,23.9
1572564607371,54.8,23.8
1572564597073,55.0,23.9
1572564542027,54.8,23.9
1572564518828,54.7,23.9
1572564433602,54.5,23.9
1572564420115,54.6,23.9
1572564340398,54.5,23.9
1572564278870,54.6,23.9
1572564218752,54.4,23.8
1572564187545,54.5,23.8
1572564174089,54.5,23.8
1572564164296,54.4,23.8
1572564160873,54.4,23.8
1572564147504,54.3,23.8
1572564137636,54.3,23.9
1572564127316,54.2,23.9
1572564090289,54.2,23.9
1572564042096,54.1,23.9
1572563969453,54.2,23.8
1572563874122,54.0,23.8
1572563867440,54.1,23.9
1572563812985,53.9,23.8
1572563697234,54.1,23.9
1572563602527,54.1,23.8
1572563558726,54.0,23.8
1572563513735,54.1,23.9
1572563500369,54.0,23.8
1572563471137,54.1,23.8
1572563432915,54.2,23.9
1572563308797,54.2,23.9
1572563227401,54.2,23.8
1572563220778,54.1,23.9
1572563196914,54.2,23.9
1572563162763,54.2,23.8
1572563156186,54.3,23.9
1572563096701,54.1,23.9
1572563078565,54.1,23.9
1572563075209,54.2,23.9
1572563050342,54.1,23.8
1572562935105,54.1,23.9
1572562931679,54.1,23.9
1572562849455,54.1,23.9
1572562787130,54.1,23.9
1572562766567,54.1,23.9
1572562629085,54.0,23.9
