time,relative_humidity,temperature
1572584354186,54.1,26.4
1572584326881,54.2,26.3
1572584313718,54.2,26.3
1572584259252,54.1,26.4
1572584252407,54.1,26.4
1572584145394,54.2,26.4
1572584124555,54.1,26.4
1572584107516,54.2,26.3
1572584097131,54.2,26.4
1572584093782,54.2,26.4
1572584043017,54.1,26.3
1572584012641,54.2,26.3
1572583865319,54.2,26.4
1572583803799,54.2,26.3
1572583746122,54.2,26.4
1572583711851,54.3,26.4
1572583578805,54.2,26.4
1572583486947,54.2,26.4
1572583291213,54.1,26.4
1572583202582,54.2,26.4
1572583050404,54.2,26.4
1572583006648,54.2,26.4
1572582986647,54.2,26.4
1572582915402,54.2,26.4
1572582891703,54.1,26.4
1572582858434,54.2,26.4
1572582847854,54.2,26.3
1572582800283,54.2,26.3
1572582790138,54.1,26.4
1572582733123,54.2,26.4
1572582702036,54.2,26.4
1572582592113,54.1,26.4
1572582554543,54.2,26.5
1572582502915,54.2,26.4
1572582452360,54.3,26.5
1572582240861,54.2,26.4
1572582153470,54.2,26.5
1572581988210,54.2,26.5
1572581734927,54.2,26.5
1572581704555,54.2,26.4
1572581680667,54.3,26.5
1572581544097,54.2,26.4
1572581500101,54.3,26.5
1572581483651,54.2,26.4
1572581444894,54.3,26.4
1572581364547,54.3,26.4
1572581351256,54.3,26.5
1572581282577,54.2,26.5
1572581248605,54.2,26.5
1572581235237,54.2,26.4
1572581198611,54.2,26.5
1572581042756,54.2,26.4
1572580947749,54.3,26.6
1572580613885,54.3,26.6
1572580579994,54.3,26.5
1572580459287,54.3,26.5
1572580401683,54.3,26.5
1572580285590,54.3,26.5
1572580235427,54.3,26.6
1572580197147,54.4,26.5
1572580096205,54.3,26.6
1572580029008,54.4,26.5
1572580002377,54.3,26.5
1572579940844,54.3,26.5
1572579899372,54.2,26.5
1572579828918,54.4,26.5
1572579692346,54.3,26.5
1572579550957,54.3,26.5
1572579540635,54.2,26.5
1572579493948,54.3,26.5
1572579379784,54.5,26.6
1572579228750,54.4,26.6
1572579205193,54.4,26.5
1572579035654,54.4,26.5
1572578991063,54.4,26.6
1572578983965,54.4,26.6
1572578715051,54.4,26.6
1572578603226,54.4,26.5
1572578569188,54.6,26.6
1572578521218,54.4,26.6
1572578430532,54.5,26.5
1572578360423,54.4,26.6
1572578343763,54.5,26.6
1572578168824,54.5,26.6
1572578135131,54.6,26.6
1572578125188,54.4,26.5
1572578114895,54.4,26.5
1572578091075,54.6,26.5
1572578028750,54.5,26.6
1572577992083,54.5,26.5
1572577870237,54.6,26.5
1572577856679,54.5,26.6
1572577816201,54.5,26.6
1572577796073,54.6,26.5
1572577776217,54.5,26.6
1572577630936,54.6,26.5
1572577610645,54.5,26.7
1572577594033,54.7,26.6
1572577503828,54.5,26.6
1572577462636,54.6,26.6
1572577404473,54.5,26.6
1572577373569,54.6,26.6
1572577348526,54.6,26.6
1572577329735,54.6,26.5
1572577259985,54.5,26.7
1572577203477,54.5,26.5
1572577185567,54.5,26.6
1572577067088,54.6,26.7
1572576930416,54.7,26.7
1572576828182,54.7,26.6
1572576719387,54.6,26.7
1572576702293,54.6,26.6
1572576507460,54.7,26.6
1572576500747,54.7,26.6
1572576494024,54.6,26.7
1572576470284,54.7,26.7
1572576453068,54.6,26.6
1572576375253,54.7,26.7
1572576348216,54.7,26.6
1572576321619,54.7,26.6
1572576253118,54.6,26.7
1572576197784,54.7,26.6
1572576125922,54.7,26.6
1572576111225,54.6,26.6
1572575992419,54.6,26.7
1572575932738,54.6,26.6
1572575925885,54.6,26.7
1572575899318,54.6,26.7
1572575697303,54.5,26.7
1572575669362,54.5,26.7
1572575594419,54.5,26.7
1572575540185,54.5,26.7
1572575392650,54.5,26.7
1572575348708,54.4,26.6
1572575244268,54.3,26.6
1572575223298,54.4,26.7
1572575152404,54.4,26.7
1572575061157,54.3,26.6
1572575041087,54.4,26.7
1572575003768,54.3,26.7
1572574979505,54.3,26.7
1572574912208,54.3,26.7
1572574895170,54.3,26.6
1572574875225,54.3,26.7
1572574861404,54.2,26.7
1572574820869,54.2,26.7
1572574810573,54.1,26.7
1572574793407,54.2,26.6
1572574681508,54.0,26.7
1572574666617,54.1,26.8
1572574642815,54.0,26.7
1572574618650,54.0,26.7
