time,relative_humidity,temperature
1572584358027,58.3,25.2
1572584340491,58.3,25.3
1572584279402,58.4,25.2
1572584245769,58.4,25.2
1572584242131,58.4,25.1
1572584194374,58.5,25.3
1572584036625,58.4,25.2
1572583814131,58.4,25.2
1572583797249,58.5,25.3
1572583749453,58.4,25.2
1572583721708,58.4,25.2
1572583690924,58.5,25.3
1572583684260,58.5,25.3
1572583625717,58.4,25.2
1572583612089,58.4,25.3
1572583592254,58.4,25.3
1572583463368,58.5,25.3
1572583416326,58.4,25.2
1572583395913,58.5,25.2
1572583375707,58.4,25.2
1572583338575,58.4,25.2
1572583335207,58.4,25.3
1572583297816,58.4,25.2
1572583277508,58.5,25.3
1572583169279,58.4,25.2
1572583155463,58.5,25.3
1572583063859,58.4,25.2
1572583043642,58.4,25.3
1572583010002,58.4,25.3
1572582979865,58.4,25.4
1572582959857,58.5,25.3
1572582936149,58.5,25.3
1572582854748,58.4,25.3
1572582783275,58.5,25.2
1572582763062,58.4,25.3
1572582756511,58.4,25.3
1572582695348,58.6,25.2
1572582605627,58.5,25.3
1572582578341,58.4,25.3
1572582537256,58.5,25.3
1572582489860,58.4,25.3
1572582435216,58.5,25.3
1572582418869,58.5,25.3
1572582377368,58.6,25.4
1572582333064,58.5,25.3
1572582329350,58.5,25.2
1572582275323,58.5,25.2
1572582261746,58.6,25.3
1572582224110,58.5,25.3
1572582187806,58.5,25.2
1572582150200,58.5,25.3
1572582065407,58.5,25.4
1572582032162,58.5,25.3
1572581984860,58.5,25.3
1572581950249,58.5,25.3
1572581909260,58.5,25.2
1572581853350,58.5,25.3
1572581822212,58.6,25.4
1572581662779,58.5,25.4
1572581624858,58.5,25.3
1572581601499,58.5,25.3
1572581581337,58.5,25.2
1572581527258,58.5,25.3
1572581490198,58.5,25.3
1572581317688,58.5,25.3
1572581252164,58.5,25.3
1572581164848,58.5,25.3
1572581089797,58.4,25.3
1572581062625,58.5,25.3
1572581036236,58.6,25.3
1572581002142,58.6,25.4
1572580877045,58.5,25.4
1572580860493,58.6,25.4
1572580843470,58.5,25.3
1572580839277,58.5,25.3
1572580813466,58.6,25.3
1572580776488,58.5,25.4
1572580739361,58.6,25.4
1572580692058,58.6,25.3
1572580672053,58.5,25.4
1572580641186,58.5,25.3
1572580576740,58.6,25.4
1572580502889,58.5,25.4
1572580381087,58.5,25.3
1572580225201,58.4,25.2
1572580187338,58.7,25.4
1572580169423,58.6,25.3
1572580082956,58.5,25.4
1572580042644,58.6,25.4
1572580018931,58.5,25.3
1572579968828,58.5,25.4
1572579951594,58.5,25.4
1572579882792,58.6,25.4
1572579872856,58.6,25.4
1572579832399,58.5,25.4
1572579794646,58.5,25.4
1572579787908,58.6,25.3
1572579703429,58.5,25.4
1572579557844,58.7,25.4
1572579523736,58.6,25.4
1572579463089,58.5,25.4
1572579443279,58.5,25.4
1572579432746,58.5,25.4
1572579422604,58.5,25.3
1572579362930,58.6,25.4
1572579352913,58.5,25.3
1572579335989,58.6,25.4
1572579322771,58.6,25.5
1572579215502,58.6,25.4
1572579201805,58.6,25.4
1572579181231,58.6,25.4
1572579157729,58.6,25.5
1572579086844,58.7,25.5
1572579028951,58.6,25.3
1572579008459,58.6,25.4
1572578963546,58.7,25.4
1572578950001,58.6,25.3
1572578919486,58.6,25.4
1572578822025,58.6,25.4
1572578758797,58.7,25.4
1572578684525,58.6,25.4
1572578640652,58.7,25.4
1572578565761,58.7,25.4
1572578531493,58.7,25.4
1572578484466,58.7,25.5
1572578460914,58.6,25.4
1572578447282,58.7,25.5
1572578416998,58.7,25.4
1572578357101,58.6,25.4
1572578252972,58.7,25.4
1572578229395,58.7,25.4
1572578202444,58.8,25.4
1572578111655,58.8,25.3
1572578044205,58.7,25.4
1572577975378,58.7,25.5
1572577961797,58.7,25.5
1572577866735,58.7,25.4
1572577819582,58.7,25.4
1572577755830,58.8,25.4
1572577711488,58.7,25.4
1572577670917,58.7,25.4
1572577642429,58.8,25.4
1572577590707,58.8,25.4
1572577563879,58.7,25.4
1572577522891,58.7,25.4
1572577507333,58.8,25.4
1572577500383,58.8,25.4
1572577444394,58.7,25.4
1572577432901,58.8,25.4
1572577397727,58.8,25.5
1572577355595,58.8,25.4
1572577305123,58.8,25.5
1572577291235,58.9,25.4
1572577196572,58.8,25.5
1572577151983,58.9,25.5
1572577115155,58.9,25.5
1572577087725,58.9,25.5
1572577070339,58.9,25.5
1572577039640,58.8,25.4
1572576983981,58.8,25.4
1572576923585,58.9,25.5
1572576920255,58.8,25.4
1572576879432,58.9,25.4
1572576869084,58.9,25.4
1572576838424,58.8,25.4
1572576796549,58.9,25.4
1572576752993,59.0,25.5
1572576709328,59.0,25.5
1572576677226,58.9,25.4
1572576402454,59.0,25.4
1572576392356,59.0,25.5
1572576364984,59.0,25.5
1572576361681,59.0,25.5
1572576334874,59.0,25.5
1572576225180,59.0,25.4
1572576208444,59.1,25.4
1572576181084,59.0,25.5
1572576170970,59.0,25.5
1572576160423,59.0,25.5
1572576153530,58.9,25.4
1572576118082,59.0,25.4
1572576084226,59.0,25.5
1572576043552,58.9,25.5
1572575972709,59.0,25.5
1572575949358,59.0,25.5
1572575885354,59.0,25.4
1572575871924,59.0,25.4
1572575861306,59.0,25.5
1572575834407,58.9,25.5
1572575728821,58.9,25.4
1572575686473,59.0,25.4
1572575642254,59.1,25.5
1572575587649,59.0,25.5
1572575570648,59.0,25.5
1572575560639,58.9,25.4
1572575526789,59.0,25.5
1572575502852,59.0,25.5
1572575496265,59.0,25.4
1572575438131,58.9,25.4
1572575434717,58.9,25.5
1572575413682,58.9,25.5
1572575267795,58.9,25.5
1572575237406,58.9,25.4
1572575209981,58.8,25.6
1572575192825,58.8,25.4
1572575172704,58.9,25.6
1572575155806,58.8,25.5
1572575138968,58.8,25.6
1572575105906,58.8,25.5
1572575085076,58.7,25.5
1572575081169,58.8,25.6
1572575067732,58.7,25.5
1572575013814,58.7,25.5
1572574982974,58.8,25.5
1572574962457,58.7,25.5
1572574935991,58.7,25.4
1572574881915,58.6,25.5
1572574831025,58.7,25.6
1572574824180,58.6,25.5
1572574817363,58.6,25.5
1572574755856,58.6,25.5
1572574749117,58.5,25.5
1572574712257,58.5,25.6
1572574649272,58.6,25.5
1572574594934,58.5,25.5
1572574502567,58.5,25.5
1572574488927,58.5,25.5
1572574441530,58.5,25.5
1572574427636,58.4,25.5
1572574417319,58.4,25.6
1572574390187,58.4,25.5
1572574345827,58.4,25.6
1572574314479,58.4,25.4
1572574249081,58.4,25.5
1572574224951,58.3,25.4
1572574194503,58.3,25.5
1572574173822,58.4,25.5
1572574153852,58.4,25.5
1572574122846,58.4,25.5
1572574085201,58.3,25.5
1572574016688,58.3,25.5
1572574003458,58.2,25.5
1572573904215,58.1,25.4
1572573856884,58.2,25.5
1572573846725,58.2,25.4
1572573829740,58.2,25.5
1572573802913,58.2,25.4
1572573775666,58.2,25.5
1572573727657,58.2,25.5
1572573680063,58.1,25.4
1572573662405,58.1,25.5
1572573655344,58.1,25.5
1572573583252,58.0,25.4
1572573535810,58.0,25.6
1572573509123,58.1,25.5
1572573502312,58.0,25.6
1572573415055,58.1,25.5
1572573405320,58.2,25.6
1572573358200,58.0,25.5
1572573324117,58.0,25.5
1572573236582,57.9,25.6
1572573219813,58.0,25.5
1572573202982,57.9,25.5
1572573192700,57.9,25.4
1572573162797,58.0,25.6
1572573098719,58.0,25.6
1572573071747,57.9,25.6
1572572968494,57.9,25.5
1572572944366,57.9,25.6
1572572910605,57.9,25.5
1572572903916,57.9,25.5
1572572838192,58.0,25.6
1572572811422,57.9,25.5
1572572760944,57.9,25.4
1572572740509,57.9,25.5
1572572664247,57.9,25.6
1572572653344,57.9,25.5
1572572595701,57.9,25.6
1572572521361,58.0,25.6
1572572460280,57.9,25.5
1572572436054,58.0,25.6
1572572398858,57.9,25.5
1572572374153,58.0,25.6
1572572364197,58.0,25.6
1572572343999,58.0,25.6
1572572281853,58.0,25.6
1572572275455,57.9,25.6
1572572262089,57.9,25.5
1572572191149,57.9,25.5
1572572167499,57.9,25.4
1572572085143,58.1,25.5
1572571960792,57.9,25.6
1572571886045,58.0,25.5
1572571855021,58.0,25.5
1572571825302,57.9,25.5
1572571772216,58.0,25.6
1572571721240,58.0,25.4
1572571704359,57.8,25.6
1572571659949,57.8,25.5
1572571632430,57.8,25.6
1572571611571,57.8,25.4
1572571571042,57.9,25.5
1572571567593,57.8,25.5
1572571513692,57.8,25.5
1572571468520,57.7,25.5
1572571444123,57.7,25.6
1572571406263,57.7,25.6
1572571355150,57.6,25.6
1572571328125,57.7,25.5
1572571253039,57.7,25.5
1572571232639,57.6,25.5
1572571183543,57.6,25.6
1572571081111,57.4,25.4
1572570923953,57.3,25.5
1572570896396,57.3,25.5
1572570872690,57.3,25.6
1572570848807,57.3,25.6
1572570771430,57.1,25.6
1572570758324,57.3,25.6
1572570634292,57.0,25.5
1572570630382,57.0,25.6
1572570592688,57.0,25.6
1572570518561,56.9,25.5
1572570507821,56.9,25.6
1572570484343,56.9,25.5
1572570456877,56.9,25.5
1572570445734,56.9,25.4
1572570418348,56.9,25.6
1572570397846,56.8,25.5
1572570364015,56.9,25.6
1572570343680,56.8,25.5
1572570318225,56.8,25.6
1572570286879,56.8,25.6
1572570170519,56.8,25.5
1572570003783,56.7,25.6
1572569945682,56.7,25.5
1572569918628,56.6,25.6
1572569807298,56.5,25.5
1572569763199,56.5,25.6
1572569726430,56.5,25.6
1572569702596,56.6,25.6
1572569695732,56.6,25.6
1572569685885,56.5,25.5
1572569638902,56.6,25.6
1572569635500,56.6,25.5
1572569618851,56.6,25.6
1572569605677,56.5,25.6
1572569558528,56.4,25.6
1572569534636,56.4,25.5
1572569466127,56.3,25.6
1572569411700,56.4,25.6
1572569381084,56.3,25.6
1572569374082,56.5,25.4
1572569339885,56.4,25.5
1572569314544,56.4,25.6
1572569293332,56.4,25.6
1572569238478,56.2,25.6
1572569122479,56.2,25.5
1572569090911,56.2,25.6
1572569087429,56.1,25.7
1572569043037,56.1,25.6
1572569032974,56.1,25.6
1572569016226,56.2,25.6
1572568978818,56.2,25.6
1572568944734,56.2,25.7
1572568930666,56.1,25.6
1572568890146,56.2,25.6
1572568852475,56.1,25.6
1572568820357,56.1,25.6
1572568810091,56.1,25.6
1572568799670,56.1,25.5
1572568789778,56.0,25.6
1572568769331,56.0,25.6
1572568731914,56.0,25.6
1572568642411,56.2,25.5
1572568599027,56.1,25.6
1572568571967,56.0,25.5
1572568565116,55.9,25.6
1572568517918,56.3,25.5
1572568507428,56.1,25.6
1572568496969,56.1,25.6
1572568423734,56.0,25.6
1572568408893,56.1,25.6
1572568381321,56.0,25.5
1572568339128,56.0,25.6
1572568322416,56.1,25.6
1572568288728,55.9,25.5
1572568285358,55.9,25.5
1572568264841,56.2,25.6
1572568254808,56.1,25.6
1572568238202,56.1,25.5
1572568180761,56.1,25.5
1572568154012,56.2,25.6
1572568130844,56.1,25.6
1572568107770,56.2,25.6
1572568094034,56.1,25.6
1572568075779,56.2,25.6
1572567998263,56.0,25.6
1572567987283,56.1,25.6
1572567973691,56.2,25.6
1572567956532,56.1,25.6
1572567881312,56.1,25.6
1572567810174,56.2,25.6
1572567789163,56.0,25.6
1572567761577,55.9,25.6
1572567754693,56.1,25.6
1572567747864,56.1,25.6
1572567722631,56.2,25.5
1572567654542,56.2,25.6
1572567623854,56.1,25.6
1572567596784,56.1,25.6
1572567552563,56.2,25.6
1572567504132,56.2,25.6
1572567490100,56.3,25.5
1572567448186,56.1,25.6
1572567281008,56.1,25.5
1572567249675,56.2,25.6
1572567208959,56.3,25.7
1572567185387,56.2,25.5
1572567133249,56.1,25.6
1572567119314,56.2,25.6
1572567010045,56.4,25.6
1572566948716,56.3,25.7
1572566942045,56.3,25.5
1572566921969,56.4,25.6
1572566918521,56.4,25.6
1572566904770,56.3,25.5
1572566896651,56.3,25.6
1572566882305,56.3,25.7
1572566784185,56.5,25.6
1572566768859,56.4,25.6
1572566718680,56.4,25.6
1572566689589,56.2,25.6
1572566657398,56.3,25.6
1572566648407,56.4,25.6
1572566559374,56.3,25.6
1572566463419,56.2,25.6
1572566428225,56.1,25.7
1572566304442,56.0,25.5
1572566205213,56.1,25.5
1572566130354,55.9,25.6
1572566109884,56.0,25.6
1572566058846,56.0,25.6
1572566014808,55.9,25.7
1572565997652,55.9,25.5
1572565878791,55.9,25.6
1572565841344,55.7,25.6
1572565807608,55.7,25.6
1572565717461,55.8,25.6
1572565707512,55.8,25.6
1572565623522,55.8,25.6
1572565620220,55.9,25.7
1572565609936,55.7,25.6
1572565490208,55.8,25.6
1572565388460,55.8,25.6
1572565292214,55.8,25.7
1572565272200,55.8,25.6
1572565251665,55.8,25.6
1572565225098,55.8,25.6
1572565187665,55.9,25.6
1572565156719,55.9,25.6
1572565146602,55.8,25.6
1572565105228,55.8,25.7
1572565087972,55.9,25.6
1572565084623,55.8,25.6
1572565064151,55.6,25.6
1572565002431,55.8,25.6
1572564900866,55.8,25.6
1572564876509,55.8,25.7
1572564863387,55.7,25.6
1572564859889,55.7,25.5
1572564806242,55.9,25.5
1572564802897,55.9,25.6
1572564755542,55.9,25.6
1572564721206,55.9,25.6
1572564687800,55.9,25.6
1572564538808,55.9,25.6
1572564501893,55.6,25.7
1572564498513,55.6,25.6
1572564467601,55.6,25.7
1572564453962,55.6,25.6
1572564371598,55.5,25.6
1572564312506,55.6,25.6
1572564231903,55.7,25.5
1572564197485,55.7,25.6
1572564134214,55.8,25.6
1572564106988,55.8,25.5
1572564073219,55.7,25.6
1572563972858,55.9,25.7
1572563949032,55.9,25.6
1572563887982,55.9,25.6
1572563816288,56.0,25.7
1572563792643,56.0,25.6
1572563772044,55.9,25.5
1572563748136,55.9,25.6
1572563572266,56.2,25.6
1572563493696,56.2,25.7
1572563479676,56.1,25.6
1572563415216,56.2,25.6
1572563374050,56.2,25.6
1572563363933,56.3,25.6
1572563350399,56.3,25.6
1572563336594,56.3,25.7
1572563274796,56.3,25.7
1572563240989,56.3,25.6
1572563230929,56.3,25.6
1572563180134,56.4,25.7
1572563169725,56.3,25.7
1572563149409,56.4,25.6
1572563053761,56.5,25.6
1572563005632,56.3,25.6
1572562981857,56.4,25.6
