time,command,ambient_temp,room_temp,humidity,energy,total_energy
2019-11-01 05:00:09.189,cooling,25.2,25.0,59.5,0.0069,0.01
2019-11-01 05:00:14.189,cooling,25.2,24.8,59.5,0.0069,0.01
2019-11-01 05:00:19.189,cooling,25.2,24.6,59.5,0.0069,0.02
2019-11-01 05:00:24.189,cooling,25.2,24.4,59.5,0.0069,0.03
2019-11-01 05:00:29.189,cooling,25.2,24.2,59.5,0.0069,0.03
2019-11-01 05:00:34.189,cooling,25.2,24.0,59.5,0.0069,0.04
2019-11-01 05:00:39.189,cooling,25.2,23.8,59.5,0.0069,0.05
2019-11-01 05:00:44.189,cooling,24.25,23.6,61.4,0.0069,0.06
2019-11-01 05:00:49.189,cooling,24.25,23.4,61.4,0.0069,0.06
2019-11-01 05:00:54.189,cooling,24.57,23.2,60.77,0.0069,0.07
2019-11-01 05:00:59.189,cooling,24.57,23.0,60.77,0.0069,0.08
2019-11-01 05:01:04.189,cooling,24.22,22.8,61.38,0.0069,0.08
2019-11-01 05:01:09.189,cooling,24.22,22.6,61.38,0.0069,0.09
2019-11-01 05:01:14.189,cooling,24.22,22.4,61.38,0.0069,0.1
2019-11-01 05:01:19.189,cooling,24.22,22.2,61.38,0.0069,0.1
2019-11-01 05:01:24.189,cooling,24.42,22.0,60.98,0.0069,0.11
2019-11-01 05:01:29.189,cooling,24.42,21.8,60.98,0.0069,0.12
2019-11-01 05:01:34.189,off,24.25,21.88,61.37,0.0,0.12
2019-11-01 05:01:39.189,off,24.25,21.95,61.37,0.0,0.12
2019-11-01 05:01:44.189,off,24.37,22.03,61.1,0.0,0.12
2019-11-01 05:01:49.189,cooling,24.37,21.83,61.1,0.0069,0.13
2019-11-01 05:01:54.189,off,24.29,21.9,61.0,0.0,0.13
2019-11-01 05:01:59.189,off,24.29,21.98,61.0,0.0,0.13
2019-11-01 05:02:04.189,off,24.29,22.05,61.0,0.0,0.13
2019-11-01 05:02:09.189,cooling,24.39,21.85,60.83,0.0069,0.13
2019-11-01 05:02:14.189,off,24.39,21.93,60.83,0.0,0.13
2019-11-01 05:02:19.189,off,24.39,22.0,60.83,0.0,0.13
2019-11-01 05:02:24.189,cooling,24.39,21.8,60.83,0.0069,0.14
2019-11-01 05:02:29.189,off,24.32,21.88,60.77,0.0,0.14
2019-11-01 05:02:34.189,off,24.32,21.96,60.77,0.0,0.14
2019-11-01 05:02:39.189,off,24.32,22.03,60.77,0.0,0.14
2019-11-01 05:02:44.189,cooling,24.4,21.83,60.65,0.0069,0.15
2019-11-01 05:02:49.189,off,24.4,21.91,60.65,0.0,0.15
2019-11-01 05:02:54.189,off,24.31,21.98,60.88,0.0,0.15
2019-11-01 05:02:59.189,off,24.25,22.06,60.85,0.0,0.15
2019-11-01 05:03:04.189,cooling,24.25,21.86,60.85,0.0069,0.15
2019-11-01 05:03:09.189,off,24.25,21.93,60.85,0.0,0.15
2019-11-01 05:03:14.189,off,24.25,22.01,60.85,0.0,0.15
2019-11-01 05:03:19.189,cooling,24.32,21.81,60.76,0.0069,0.16
2019-11-01 05:03:24.189,off,24.32,21.89,60.76,0.0,0.16
2019-11-01 05:03:29.189,off,24.32,21.96,60.76,0.0,0.16
2019-11-01 05:03:34.189,off,24.32,22.04,60.76,0.0,0.16
2019-11-01 05:03:39.189,cooling,24.22,21.84,60.86,0.0069,0.17
2019-11-01 05:03:44.189,off,24.22,21.91,60.86,0.0,0.17
2019-11-01 05:03:49.189,off,24.19,21.99,60.82,0.0,0.17
2019-11-01 05:03:54.189,off,24.19,22.06,60.82,0.0,0.17
2019-11-01 05:03:59.189,cooling,24.24,21.86,60.74,0.0069,0.17
2019-11-01 05:04:04.189,off,24.24,21.94,60.74,0.0,0.17
2019-11-01 05:04:09.189,off,24.24,22.02,60.74,0.0,0.17
2019-11-01 05:04:14.189,cooling,24.24,21.82,60.74,0.0069,0.18
2019-11-01 05:04:19.189,off,24.2,21.89,60.87,0.0,0.18
2019-11-01 05:04:24.189,off,24.2,21.97,60.87,0.0,0.18
2019-11-01 05:04:29.189,off,24.13,22.04,60.94,0.0,0.18
2019-11-01 05:04:34.189,cooling,24.13,21.84,60.94,0.0069,0.19
2019-11-01 05:04:39.189,off,24.13,21.92,60.94,0.0,0.19
2019-11-01 05:04:44.189,off,24.13,21.99,60.94,0.0,0.19
2019-11-01 05:04:49.189,off,24.13,22.07,60.94,0.0,0.19
2019-11-01 05:04:54.189,cooling,24.1,21.87,61.05,0.0069,0.19
2019-11-01 05:04:59.189,off,24.1,21.94,61.05,0.0,0.19
2019-11-01 05:05:04.189,off,24.1,22.02,61.05,0.0,0.19
2019-11-01 05:05:09.189,cooling,24.15,21.82,60.98,0.0069,0.2
2019-11-01 05:05:14.189,off,24.1,21.9,61.05,0.0,0.2
2019-11-01 05:05:19.189,off,24.1,21.97,61.05,0.0,0.2
2019-11-01 05:05:24.189,off,24.12,22.05,60.93,0.0,0.2
2019-11-01 05:05:29.189,cooling,24.12,21.85,60.93,0.0069,0.21
2019-11-01 05:05:34.189,off,24.1,21.92,61.02,0.0,0.21
2019-11-01 05:05:39.189,off,24.1,22.0,61.02,0.0,0.21
2019-11-01 05:05:44.189,off,24.15,22.07,60.85,0.0,0.21
2019-11-01 05:05:49.189,cooling,24.15,21.87,60.85,0.0069,0.22
2019-11-01 05:05:54.189,off,24.11,21.95,60.9,0.0,0.22
2019-11-01 05:05:59.189,off,24.11,22.03,60.9,0.0,0.22
