time,command,ambient_temp,room_temp,predicted_temp,humidity,energy,total_energy,reason,discomfort,cost
2019-11-01 05:00:05.507,off,25.7,25.7,25.7,58.9,0.0,0.0,Cooldown active: holding previous command off,0.2,0.2903
2019-11-01 05:00:10.507,off,25.7,25.7,25.7,58.9,0.0,0.0,Cooldown active: holding previous command off,0.2,0.2903
2019-11-01 05:00:15.507,off,25.7,25.7,25.7,58.9,0.0,0.0,Cooldown active: holding previous command off,0.2,0.2903
2019-11-01 05:00:20.507,off,25.5,25.62,25.7,59.5,0.0,0.0,Cooldown active: holding previous command off,0.2,0.2903
2019-11-01 05:00:25.507,off,25.5,25.55,25.62,59.5,0.0,0.0,Cooldown active: holding previous command off,0.28,0.3665
2019-11-01 05:00:30.507,off,25.57,25.57,25.55,59.33,0.0,0.0,Cooldown active: holding previous command off,0.43,0.4333
2019-11-01 05:00:35.507,off,25.57,25.57,25.57,59.33,0.0,0.0,Cooldown active: holding previous command off,0.33,0.4236
2019-11-01 05:00:40.507,off,25.48,25.49,25.57,59.52,0.0,0.0,Cooldown active: holding previous command off,0.33,0.4236
2019-11-01 05:00:45.507,off,25.48,25.41,25.49,59.52,0.0,0.0,Cooldown active: holding previous command off,0.41,0.4998
2019-11-01 05:00:50.507,off,25.48,25.4,25.41,59.52,0.0,0.0,Cooldown active: holding previous command off,0.49,0.576
2019-11-01 05:00:55.507,off,25.48,25.4,25.4,59.52,0.0,0.0,Cooldown active: holding previous command off,0.5,0.5903
2019-11-01 05:01:00.507,off,25.66,25.48,25.4,58.9,0.0,0.0,Cooldown active: holding previous command off,0.52,0.5236
2019-11-01 05:01:05.507,off,25.66,25.55,25.43,58.9,0.0,0.0,"Selected off with cost 0.4471 (Discomfort=0.45, Energy=0.0000)",0.45,0.4471
2019-11-01 05:01:10.507,off,25.8,25.63,25.55,58.48,0.0,0.0,Cooldown active: holding previous command off,0.37,0.3705
2019-11-01 05:01:15.507,off,25.71,25.71,25.68,58.71,0.0,0.0,Cooldown active: holding previous command off,0.29,0.294
2019-11-01 05:01:20.507,off,25.71,25.78,25.71,58.71,0.0,0.0,Cooldown active: holding previous command off,0.22,0.2175
2019-11-01 05:01:25.507,off,25.71,25.86,25.86,58.71,0.0,0.0,Cooldown active: holding previous command off,0.14,0.141
2019-11-01 05:01:30.507,off,25.79,25.94,25.9,58.42,0.0,0.0,Cooldown active: holding previous command off,0.06,0.0643
2019-11-01 05:01:35.507,off,25.79,26.0,25.93,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:01:40.507,off,25.79,26.0,26.0,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:01:45.507,off,25.79,26.0,25.98,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:01:50.507,off,25.79,26.0,25.89,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:01:55.507,off,25.79,26.0,26.05,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:02:00.507,off,25.79,26.0,26.08,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:02:05.507,off,25.79,26.0,26.02,58.42,0.0,0.0,"Selected off with cost 0.0000 (Discomfort=0.00, Energy=0.0000)",0.0,0.0
2019-11-01 05:02:10.507,off,25.79,26.0,25.98,58.42,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:02:15.507,off,25.73,25.92,26.0,58.61,0.0,0.0,Cooldown active: holding previous command off,0.08,0.0766
2019-11-01 05:02:20.507,off,25.73,25.85,25.91,58.61,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:02:25.507,off,25.81,25.92,25.73,58.38,0.0,0.0,Cooldown active: holding previous command off,0.08,0.0765
2019-11-01 05:02:30.507,off,25.76,25.85,25.84,58.53,0.0,0.0,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:02:35.507,off,25.76,25.77,25.59,58.53,0.0,0.0,Cooldown active: holding previous command off,0.05,0.1433
2019-11-01 05:02:40.507,off,25.76,25.83,25.75,58.56,0.0,0.0,Cooldown active: holding previous command off,0.17,0.1667
2019-11-01 05:02:45.507,off,25.76,25.83,25.81,58.56,0.0,0.0,Cooldown active: holding previous command off,0.07,0.1569
2019-11-01 05:02:50.507,off,25.8,25.77,25.73,58.39,0.0,0.0,Cooldown active: holding previous command off,0.07,0.1569
2019-11-01 05:02:55.507,off,25.8,25.77,25.71,58.39,0.0,0.0,Cooldown active: holding previous command off,0.13,0.2236
2019-11-01 05:03:00.507,off,25.8,25.77,25.91,58.39,0.0,0.0,Cooldown active: holding previous command off,0.13,0.2236
2019-11-01 05:03:05.507,heating,25.8,25.87,25.74,58.39,0.009,0.01,"Selected heating with cost 0.2236 (Discomfort=0.13, Energy=0.0090)",0.13,0.2236
2019-11-01 05:03:10.507,heating,25.76,25.97,25.77,58.51,0.0063,0.02,Cooldown active: holding previous command heating,0.03,0.0958
2019-11-01 05:03:15.507,heating,25.76,26.07,26.06,58.51,0.0063,0.02,Cooldown active: holding previous command heating,0.0,0.0625
2019-11-01 05:03:20.507,heating,25.76,26.17,26.09,58.51,0.0063,0.03,Cooldown active: holding previous command heating,0.01,0.0099
2019-11-01 05:03:25.507,heating,25.8,26.27,26.2,58.37,0.0063,0.03,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:30.507,heating,25.8,26.37,26.4,58.37,0.0063,0.04,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:35.507,heating,25.8,26.47,26.46,58.37,0.0063,0.05,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:40.507,heating,25.8,26.57,26.5,58.37,0.0063,0.05,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:45.507,heating,25.8,26.67,26.69,58.37,0.0063,0.06,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:50.507,heating,25.8,26.77,26.7,58.37,0.0063,0.07,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:03:55.507,heating,25.8,26.87,26.87,58.37,0.0063,0.07,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:04:00.507,heating,25.8,26.97,26.94,58.37,0.0063,0.08,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:04:05.507,off,25.84,26.89,27.05,58.24,0.0,0.08,"Selected off with cost 0.0000 (Discomfort=0.00, Energy=0.0000)",0.0,0.0
2019-11-01 05:04:10.507,off,25.84,26.81,26.72,58.24,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:15.507,off,25.82,26.74,26.77,58.28,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:20.507,off,25.82,26.66,26.69,58.28,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:25.507,off,25.78,26.58,26.54,58.38,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:30.507,off,25.78,26.51,26.52,58.38,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:35.507,off,25.75,26.43,26.44,58.47,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:40.507,off,25.75,26.35,26.34,58.47,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:45.507,off,25.72,26.28,26.27,58.55,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:50.507,off,25.72,26.2,26.22,58.57,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:04:55.507,off,25.72,26.12,26.11,58.57,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:05:00.507,off,25.72,26.05,26.11,58.57,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:05:05.507,off,25.72,25.97,26.03,58.57,0.0,0.08,"Selected off with cost 0.0295 (Discomfort=0.03, Energy=0.0000)",0.03,0.0295
2019-11-01 05:05:10.507,off,25.72,25.89,25.94,58.57,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:15.507,off,25.72,25.82,25.85,58.57,0.0,0.08,Cooldown active: holding previous command off,0.01,0.0964
2019-11-01 05:05:20.507,off,25.77,25.89,25.76,58.4,0.0,0.08,Cooldown active: holding previous command off,0.11,0.106
2019-11-01 05:05:25.507,off,25.77,25.9,26.05,58.4,0.0,0.08,Cooldown active: holding previous command off,0.01,0.0963
2019-11-01 05:05:30.507,off,25.78,25.9,25.88,58.37,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:35.507,off,25.78,25.9,25.88,58.37,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:40.507,off,25.81,25.9,25.99,58.27,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:45.507,off,25.81,25.9,25.87,58.27,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:50.507,off,25.81,25.9,25.89,58.27,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:05:55.507,off,25.84,25.98,25.96,58.18,0.0,0.08,Cooldown active: holding previous command off,0.02,0.0233
2019-11-01 05:06:00.507,off,25.81,26.05,26.09,58.28,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:05.507,off,25.81,26.13,26.1,58.28,0.0,0.08,"Selected off with cost 0.0000 (Discomfort=0.00, Energy=0.0000)",0.0,0.0
2019-11-01 05:06:10.507,off,25.8,26.21,26.19,58.28,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:15.507,off,25.83,26.17,26.29,58.22,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:20.507,off,25.83,26.17,26.11,58.22,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:25.507,off,25.82,26.09,26.16,58.22,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:30.507,off,25.8,26.01,26.07,58.31,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:06:35.507,off,25.8,25.94,25.9,58.33,0.0,0.08,Cooldown active: holding previous command off,0.06,0.0634
2019-11-01 05:06:40.507,off,25.8,25.86,25.89,58.33,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0903
2019-11-01 05:06:45.507,off,25.79,25.78,25.82,58.35,0.0,0.08,Cooldown active: holding previous command off,0.04,0.1303
2019-11-01 05:06:50.507,off,25.79,25.71,25.61,58.35,0.0,0.08,Cooldown active: holding previous command off,0.12,0.207
2019-11-01 05:06:55.507,off,25.76,25.63,25.65,58.43,0.0,0.08,Cooldown active: holding previous command off,0.19,0.2836
2019-11-01 05:07:00.507,off,25.76,25.55,25.55,58.43,0.0,0.08,Cooldown active: holding previous command off,0.27,0.3603
2019-11-01 05:07:05.507,off,25.79,25.63,25.42,58.35,0.0,0.08,"Selected off with cost 0.3700 (Discomfort=0.37, Energy=0.0000)",0.37,0.37
2019-11-01 05:07:10.507,off,25.79,25.71,25.78,58.35,0.0,0.08,Cooldown active: holding previous command off,0.29,0.2933
2019-11-01 05:07:15.507,off,25.81,25.73,25.79,58.27,0.0,0.08,Cooldown active: holding previous command off,0.27,0.2667
2019-11-01 05:07:20.507,off,25.83,25.81,25.63,58.19,0.0,0.08,Cooldown active: holding previous command off,0.19,0.1899
2019-11-01 05:07:25.507,off,25.8,25.89,25.96,58.27,0.0,0.08,Cooldown active: holding previous command off,0.11,0.1132
2019-11-01 05:07:30.507,off,25.83,25.96,26.03,58.19,0.0,0.08,Cooldown active: holding previous command off,0.04,0.0365
2019-11-01 05:07:35.507,off,25.83,26.0,25.89,58.19,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:07:40.507,off,25.81,26.03,26.08,58.24,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:07:45.507,off,25.81,26.03,26.1,58.24,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:07:50.507,off,25.79,26.03,25.95,58.33,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:07:55.507,off,25.79,26.03,26.05,58.33,0.0,0.08,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:08:00.507,off,25.78,25.96,26.04,58.36,0.0,0.08,Cooldown active: holding previous command off,0.04,0.0433
2019-11-01 05:08:05.507,heating,25.75,26.06,25.84,58.43,0.009,0.09,"Selected heating with cost 0.0903 (Discomfort=0.00, Energy=0.0090)",0.0,0.0903
2019-11-01 05:08:10.507,heating,25.78,26.16,26.18,58.36,0.0063,0.09,Cooldown active: holding previous command heating,0.02,0.02
2019-11-01 05:08:15.507,heating,25.78,26.26,26.32,58.36,0.0063,0.1,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:20.507,heating,25.78,26.36,26.15,58.36,0.0063,0.11,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:25.507,heating,25.75,26.46,26.47,58.46,0.0063,0.11,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:30.507,heating,25.75,26.56,26.67,58.46,0.0063,0.12,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:35.507,heating,25.75,26.66,26.43,58.46,0.0063,0.12,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:40.507,heating,25.75,26.76,26.85,58.46,0.0063,0.13,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:45.507,heating,25.74,26.86,26.92,58.48,0.0063,0.14,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:50.507,heating,25.74,26.96,26.82,58.48,0.0063,0.14,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:08:55.507,heating,25.74,27.06,27.08,58.48,0.0063,0.15,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:09:00.507,heating,25.74,27.16,27.15,58.48,0.0063,0.16,Cooldown active: holding previous command heating,0.0,0.0
2019-11-01 05:09:05.507,off,25.69,27.08,27.26,58.64,0.0,0.16,"Selected off with cost 0.0000 (Discomfort=0.00, Energy=0.0000)",0.0,0.0
2019-11-01 05:09:10.507,off,25.69,27.0,26.91,58.64,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:15.507,off,25.69,26.93,26.87,58.63,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:20.507,off,25.67,26.85,26.97,58.7,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:25.507,off,25.7,26.77,26.69,58.63,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:30.507,off,25.7,26.7,26.64,58.63,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:35.507,off,25.76,26.62,26.73,58.45,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:40.507,off,25.76,26.54,26.48,58.45,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:45.507,off,25.76,26.47,26.44,58.45,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:50.507,off,25.77,26.39,26.41,58.42,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
2019-11-01 05:09:55.507,off,25.77,26.31,26.34,58.45,0.0,0.16,Cooldown active: holding previous command off,0.0,0.0
